Название,#,Монета,Категория,Описание задания,Игры из которых взяты идеи,Баллы,new,Used
Уменьшение бомбочек,1,серебро,Анти-бонусы,,,2,false,0
Уменьшение времени,1,серебро,Анти-бонусы,,,2,false,1
Уменьшение очков,1,серебро,Анти-бонусы,,,2,false,5
Ухудшение прочности/бронированности,1,серебро,Анти-бонусы,,,2,false,0
Ухудшение выстрелов или взрывов,1,серебро,Анти-бонусы,,,2,false,0
Замедление игрока,1,серебро,Анти-бонусы,,,2,false,4
Ускорение противников (на некоторое время),1,серебро,Анти-бонусы,,,2,false,1
Временная неуязвимость,1,серебро,Бонусы,(бессмертие),"🎮 5. Battle City,💥 8. Bomberman",2,false,1
Бронирование «базы»,1,серебро,Бонусы,(временное),🎮 5. Battle City,2,false,0
Проходимость сквозь стены (временная),1,серебро,Бонусы,,,2,false,0
Уничтожение всех противников (но потом могут появиться новые),1,серебро,Бонусы,,🎮 5. Battle City,2,false,1
Остановка движения противников (на некоторое время),1,серебро,Бонусы,,🎮 5. Battle City,2,false,2
Временная дезориентация (курсорные клавиши меняются),1,серебро,Анти-бонусы,,,2,false,0
"Случайный приз (не известно, что он значит, пока не собрать его)",1,серебро,Бонусы,,,2,false,5
Появляются время от времени,0.5,серебро,Бонусы,,🎮 5. Battle City,1,false,3
Появляются во время взрыва препятствия,0.5,серебро,Бонусы,(с определённой вероятностью),💥 8. Bomberman,1,false,1
Появляются по мере достижения определённых этапов или позиций игры,0.5,серебро,Бонусы,,,1,false,1
"Если не может дальше расширяться, превращается в кристаллы/монеты",1,серебро,Расширение,,💎 2. Boulder Dash,2,false,1
Шарик или выстрелы проходят сквозь него,1,серебро,Расширение,,🎱 3. New Ball Game,2,false,0
"Если не может расширяться, превращается в камни",1,серебро,Расширение,,💎 2. Boulder Dash,2,false,1
Ядовитая субстанция,1,серебро,Расширение,,,2,false,0
"Непроходимая, но уничтожимая субстанция",1,серебро,Расширение,,,2,false,0
Непроходимая неуничтожимая субстанция,1,серебро,Расширение,,,2,false,0
Необязательные монетки,1,серебро,Поинты,"(можно собирать и получать очки, необязательные)",,2,false,15
Лёд,1,серебро,Элементы,(на котором происходит скольжение игрока и противников),🎮 5. Battle City,2,false,0
Динамит,1,серебро,Элементы,"(если на него двинуть камень или выстрелить, взорвётся)",,2,false,1
Энерджайзер,1,серебро,Бонусы,(противники временно начинают убегать от нас),👻 9. Pac-Man,2,false,3
Неподвижные ловушки,1,серебро,Противник,"(игрок погибает, когда попадает в них)","🎱 3. New Ball Game,🏂 7. Inertia",2,false,6
Лес,1,серебро,Элементы,(в зарослях которого почти не видно игрока и противников),🎮 5. Battle City,2,false,0
Точка сохранения,1,серебро,Элементы,(при погибании возвращаемся в неё),,2,false,0
Пряталка,1,серебро,Элементы,(в ней можно спрятаться от врагов),💰 4. Lode Runner,2,false,0
Преобразователь,1,серебро,Элементы,(камни при падении на него становятся кристаллами),💎 2. Boulder Dash,2,false,0
Золото или кристаллы,1,серебро,Поинты,"(нужно собрать определенное количество, чтобы пройти уровень)",💎 2. Boulder Dash,2,false,6
Камни,1,серебро,Препятствия,"(падают вниз, могут убить игрока)",💎 2. Boulder Dash,2,false,6
Камни: гравитация тянет вниз,0.5,серебро,Препятствия,,,1,false,4
Камни: игрок может толкать,0.5,серебро,Препятствия,,,1,false,6
Лестница,1,серебро,Элементы,(для перемещения по вертикали),💰 4. Lode Runner,2,false,5
Натянутая веревка,1,серебро,Элементы,(для перемещения по горизонтали),💰 4. Lode Runner,2,false,2
База,1,серебро,Элементы,(которую надо защитить от врагов),🎮 5. Battle City,2,false,0
Невидимая мина,1,серебро,Элементы,,🚧 6. Mined-Out,2,false,3
Случайное перемещение,1,серебро,Противник,,,2,false,6
Простое движение,1,серебро,Противник,"(например, по кругу или вперёд-назад и т.п.)",,2,false,11
Движение по периметру,1,серебро,Противник,"(например, поворачивая всегда направо)",💎 2. Boulder Dash,2,false,0
Может проходить сквозь стены,1,серебро,Противник,,💥 8. Bomberman,2,false,1
Повторяет за игроком его ходы,1,серебро,Противник,,🚧 6. Mined-Out,2,false,0
Скорость перемещения выше игрока,0.5,серебро,Противник,,,1,false,6
Скорость перемещения ниже игрока,0.5,серебро,Противник,,,1,false,10
Скорость перемещения меняется,0.5,серебро,Противник,,,1,false,2
Появление новых противников случайным образом,0.5,серебро,Противник,,,1,false,0
Появление новых по определенному алгоритму,0.5,серебро,Противник,,🎮 5. Battle City,1,false,2
Появление старых на точке респауна,0.5,серебро,Противник,,"💰 4. Lode Runner,👻 9. Pac-Man",1,false,5
Противники стреляют на расстоянии,1,серебро,Противник,,🎮 5. Battle City,2,false,6
Атакует находясь рядом,0.5,серебро,Противник,(соседняя клетка),,1,false,4
"Атакует, занимая клетку игрока",0.5,серебро,Противник,,"💰 4. Lode Runner,💥 8. Bomberman,👻 9. Pac-Man",1,false,7
Стреляющий игрок,1,серебро,Игрок,,🎮 5. Battle City,2,false,6
При уничтожении превращается в кристаллы,0.5,серебро,Противник,,💎 2. Boulder Dash,1,false,2
Разная прочность противников,0.5,серебро,Противник,,🎮 5. Battle City,1,false,2
Умный противник,2,золото,Противник,"(двигается по направлению к игроку, учитывая препятствия)",,8,false,9
Интеллектуальный противник,3,золото,Противник,(пытается предугадать действия игрока),,12,false,0
Противник может использовать инвентарь игрока,2,золото,Противник,,,8,false,2
Проверка проходимости уровня,2,золото,Уровни,,,8,false,5
Подсказка для прохождения уровня,2,золото,Уровни,"(какой сделать следующий шаг, чтобы победить)",,8,false,5
Редактор уровней,3,золото,Уровни,,,12,false,10
Эмуляция прохождения уровня,4,золото,Уровни,(визуально как будто играет игрок),,16,false,2
Генератор уровней,4,золото,Уровни,"(не просто хаотичный, а с использованием, шаблонов, схем, алгоритмов и т.п.)",,16,false,4
Инструкция к игре,1,бронза,Меню,,,1,false,37
Выкапывание ямы,0.5,серебро,Игрок,,💰 4. Lode Runner,1,false,5
Список результатов,1,бронза,Результаты,,,1,false,11
Настройка громкости,1,бронза,Меню,Регулирование громкости фоновой музыки/звуков в меню,,1,false,9
Сорняки,1,серебро,элемент,"Игрок может ""скосить"" сорняки только подойдя справа/слева (т.е просто спрыгнув Вы от них не избавитесь). Обязательные.",,2,false,0
"Анимация переходов между ""окнами""",1,бронза,Интерфейс,Анимация загрузки между скрытием окна меню и прогрузкой игровой карты,,1,false,5
"Выход из игры, когда у игрока заканчиваются жизни",0.5,серебро,Финиш,,,1,false,16
Обязательные монетки,1,серебро,Поинты,,,2,false,16
Создание стены в потолке,2,бронза,,Игрок вручную восстанавливает разрушенную стену.,,2,false,0
Разные иконки направлений противника,1,бронза,Противник,,,1,false,9
"Движение ""тор""",2,бронза,Противник,,,2,false,0
Выбор уровня или сложности,1,бронза,Меню,,,1,false,27
Простой подсчет очков,1,бронза,Результаты,,,1,false,16
Мина для врагов,1,серебро,,,,2,false,0
Подбираемый предмет,1,бронза,,,,1,false,0
Выбор игрока,1,бронза,Меню,"(Возможность смены игрока с его настройками. Например скорость и стиль игры, а также последняя карта, на которой играл игрок)",,1,false,5
Выбор стиля (темы) игры,1,бронза,Меню,(У игрока есть выбор между разными наборами символов для отображения в консольной игре),,1,false,4
Регулировка скорости игры,1,бронза,Меню,"(Игрок решает как быстро будут происходить все события в игре) ー описать подробнее, что это на самом деле значит",,1,false,10
Бустер,1,серебро,,"(Специальная возможность игрока влючить режим Энерджайзера где-угодно и когда-угодно, что бы спастись от врагов. Когда время действия бустера оканчивается клавиши управления инвертированы на время)",,2,false,0
Заставка поражения,1,бронза,Интерфейс,,,1,false,41
Заставка победы,1,бронза,Интерфейс,,,1,false,41
Лимит бомбочек на уровень,1,бронза,разное,,💥 8. Bomberman,1,false,0
След от взрыва,1,серебро,Элементы,,💥 8. Bomberman,2,false,7
Множитель очков,1,серебро,Бонусы,,💥 8. Bomberman,2,false,2
Магазин,1,серебро,Фичи,,,2,false,3
Шипы (появляются и пропадают на клетке),1,серебро,Препятствия,,,2,false,0
Случайное появление стен,1,серебро,Препятствия,,,2,false,1
Осколок мины,1,серебро,Бонусы,"(при наступании на мину она взрывается, оставляя в случайном месте карты осколок, собрав несколько штук которых игрок сможет видеть все мины на поле)",,2,false,0
Капкан,1,серебро,Препятствия,"(при наступании на капкан игрок не может двигаться до момента совершения определенного количества ""попыток ходов"")",,2,false,1
Ослепитель игрока,1,серебро,Анти-бонусы,"(если подобрать этот антиприз то на определенное количество ходов игрок ""ослепнет""(поле станет черным), но все клетки которые уже слепой игрок пройдёт, он будет видеть даже во время слепоты(якобы он уже туда сходил и теперь знает что там))",,2,false,0
"Курсор принимает вид ""активного"" элемента",0.5,серебро,Игрок,"Курсор динамически принимает вид активного элемента, т.е. при смене элемента (к примеру, с помощью клавиши или колеса мышки) курсор принимает вид нового элемента, который установится на поле при клике пользователя",🎱 3. New Ball Game,1,false,1
Анимация игрока,1,серебро,Игрок,,,2,false,9
Отдельный подсчет очков ,1,бронза,Результаты,Подсчет каждого бонуса по-отдельности и вывод в конце игры.,,1,false,9
Мячик (инерционный),1,серебро,Элементы,,🎱 3. New Ball Game,2,false,2
Установка щита для мячика,0.5,серебро,Игрок,,🎱 3. New Ball Game,1,false,1
Случайное появление фрукта (змейка),1,серебро,элемент,,🐍 A. Змейка,2,false,0
Вывод результатов,1,бронза,Результаты, Выводятся вовремя игрового процесса  сбоку или снизу ,,1,false,25
Выход из игры по кнопке,0.5,серебро,Финиш,"При нажатии кнопки(Например, esc - осуществляется выход из игры)",,1,false,33
Частично обязательные монетки,1,серебро,Поинты,"Например, нужно собрать определенное количество.",,2,false,1
Использоование изображений,1,бронза,3-я лаба (todo),,,1,false,0
Использование изображений игровых элементов из ресурсов,1,бронза,3-я лаба (todo),,,1,false,0
Использование всех игровых элементов из консольной версии,,,3-я лаба (todo),,,0,false,0
Качественная отрисовка,,,3-я лаба (todo),,,0,false,0
Элементы управления,,,3-я лаба (todo),,,0,false,0
Блок для отображения информации,1,бронза,Интерфейс,,,1,false,29
Использование базы данных,1,серебро,Фичи,,,2,false,9
Возможность играть вдвоём,1,золото,Фичи,(на одном компьютере),,4,false,5
Возможность играть по сети,3,золото,Фичи,,,12,false,3
Выбор пункта меню курсорными клавишами,1,бронза,Интерфейс,,,1,false,19
Выделение активного пункта меню,1,бронза,Интерфейс,,,1,false,29
Псевдографика для оформления меню и/или поля,1,бронза,Интерфейс,"Подразумевается, например, такого вида оформление (но не обязательно такое):",,,,
,,,,,,,,
╔═══╤═══╗,,,,,,,,
╟───┼───╢,,1,false,9,,,,
Рестарт игры,1,бронза,Финиш,При нажатии кнопки,,1,true,20
Глайдер,1,серебро,Инвентарь,,,2,true,1
Появляется случайным образом в начале игры,0.5,серебро,Бонусы,,,1,false,1
Игра с бонусом или нет,0.5,серебро,Бонусы,,,1,true,1
Красочность информационных окон,1,бронза,Интерфейс,"Имеется в виду использование консольных псевдографических зарисовок для главного экрана, заставок победы/поражения и прочее",,1,true,15
Энергия игрока,1,бронза,Фичи,"Может приобретаться и расходоваться на определённые нужды (движение, атака, телепортация или какие-то другие фичи, что придумаете)",,1,true,3
Здоровье игрока,1,бронза,Фичи,Может уменьшаться в зависимости от обстоятельств. Когда уменьшится совсем ー проигрыш или потеря жизни,,1,true,1
Телепортация в случайную точку,0.5,серебро,Игрок,,,1,true,3
Дополнительные настройки,1,бронза,Меню,,,1,true,14
Последняя нажатая клавиша,0.5,бронза,Интерфейс,,,0.5,true,6
Настройка клавиш,1,бронза,Меню,,,1,true,3
Проверка на тупик,1,золото,Фичи,,,4,true,1
Мини игра,1,серебро,Элементы,,,2,true,1
Раскол камней при падении с большой высоты,1,серебро,Фичи,,💎 2. Boulder Dash,2,true,1
Аккаунты,2,золото,Результаты,Сохранение данных отдельных игроков,,8,true,9
Анимация врага,1,серебро,Противник,,,2,true,7
Атака игрока в ближнем бою,1,серебро,Игрок,,,2,true,1
Отображение текущих нажатых клавиш,1,бронза,Интерфейс,,,1,true,1
Броня игрока,1,серебро,Инвентарь,(уменьшает получаемый урон),,2,true,1
Меч,1,серебро,Инвентарь,(от его уровня зависит наносимый врагам урон),,2,true,1
Конвертер,1,серебро,Инвентарь,(позволяет превратить окружающие клетки в блоки другого типа),,2,true,1
Стена(Мигает с интервалом),1,серебро,Препятствия,Препятствие появляется и исчезает с определенным интервалом,🔦 1. Лабиринт,2,true,1
Общая кодовая база,,бронза,Основа,Общая кодовая база между 2-й и 3-й лабами,,,true,3
масштабирование,1,бронза,Интерфейс,масштабирование карты во время игры,,1,true,4
Движение по диагонали,1,бронза,Фичи,,,1,true,3
Комбинация нажатых клавиш,1,серебро,Фичи,,,2,true,3
Иконка игры,1,бронза,Интерфейс,"Иконки форм, например в WinForms ",,1,true,11
Эмуляция прохождения уровня (без алгоритма),1,золото,Уровни,,,4,true,1
Достижения (ачивки) игрока,1,серебро,Игрок,,,2,true,1
Таймер на бомбе,1,серебро,Инвентарь,(отрисовка оставшегося до взрыва времени на бомбе),💥 8. Bomberman,2,true,1
Конфета,1,серебро,Элементы,,,2,true,1
Рыба,1,серебро,Элементы,,,2,true,1
Анимация игровых элементов,1,серебро,Элементы,,,2,true,1
