✔️,Add,Назва,"Опис (це не ваш звіт, а лише опис завдання!) ⚠️",coins,used,Created by,color,Тип
,model,Хаотичний ворог,"Цей ворог може здаватися менш розумним, оскільки його дії здаються випадковими та непередбачуваними. Однак хаотичний ворог може створювати додатковий виклик для гравця, оскільки його рухи можуть бути більш непередбачуваними, ніж у випадку з розумним ворогом.",3,6,Станіслав Пивовар,🟧,Як рухається
,model,рушає після руху гравця,Противники починають свій рух після руху гравця.,1,1,Дар'я Курінна,🟧,Як рухається
,model,біжить до доступної клітинки,Противник обирає доступну клітинку та біжить до неї.,1,1,Дар'я Курінна,🟧,Як рухається
,model,біжить від вибуху чи встановленої бомби,Противник біжить від вибуху чи від встановленої бомби.,1,1,Дар'я Курінна,🟧,Як рухається
,model,"бігає з точки до точки, бачить шлях до гравця - біжить","Противник бігає з точки до точки, бачить шлях до гравця - біжить до нього.",1,1,Дар'я Курінна,🟧,Як рухається
,model,змінює свій вигляд залежно від напрямку руху,"Наприклад, при русі праворуч зображення (або символ) гравця дивиться праворуч, а при русі в протилежний бік - ліворуч.",1,19,Артем Воловий,,Інші особливості
,model,міцність,,1,10,Віталій Ляпота,,Інші особливості
,model,Health booster,"Збільшує hp гравця, щоб той пережив більше пасток",1,8,Олександр Кожанов,,Як взаємодіє
,model,Обмін предметами,Під час взаємодії з таким елементом гравець може здобути деякі предмети або віддати йому щось,1,4,Владислава Герасимова,,Як взаємодіє
,model,Має можливість розмовляти,"(Не впевнена з приводу кількості монеток, напишіть мені, будь ласка, якщо її потрібно зменшити)\nNPC ""говорить"" у консоль певні репліки залежно від місця в сюжет",2,2,Владислава Герасимова,,Інші особливості
,model,Відображає певне вікно,Під час взаємодії відображає деяке вікно (наприклад - відображає вікно вмісту скрині під час взаємодії з нею),1,3,Владислава Герасимова,,Як взаємодіє
,model,minus score,Забирає у гравця деяку кількість очок,1,4,Катерина Деркач,,Як взаємодіє
,model,саморуйнування,Елемент руйнується в певний час незалежно від дій гравця,1,7,Владислава Герасимова,,Інші особливості
,model,коли було зібрано попередній такий елемент,,1,6,Юлія Дручек,🟦,Коли зʼявляється
,model,випадає з іншого елемента,"Якщо розбити ящик, чи вбити ворога",1,7,Артур Івченко,🟧,Коли зʼявляється
,model,змінює напрямок руху,за якоїсь певної дії ігрові елементи змінюють свій напрям руху за допомогою якоїсь певної дії,1,14,Микита Швець,,Як взаємодіє
,model,Віднімає життя у гравця,,,9,Владислав Білоус,,Як взаємодіє
,model,Додає гравцю життя,,,5,Владислав Білоус,,Як взаємодіє
,model,Додає гравцю броню,,,0,Владислав Білоус,,Як взаємодіє
,model,Змінює кількість броні,,,1,Владислав Білоус,,Як взаємодіє
,model,після смерті одного з гравців,,1,1,Антон Решетняк,,Коли зʼявляється
,model,додається гравцем,,1,6,Дмитро Тимошенко,🟧,Коли зʼявляється
,model,Перемикач,Перемикає стан інших елементів,1,5,Костянтин Щербина,,Як взаємодіє
,model,Перемикання,,1,2,Костянтин Щербина,,Інші особливості
,model,Генератор ворогів,"Точки спавна ворогів. Тобто рівень можна проектувати таким чином, що вороги можуть спавнитись на декількох точках одночасно.",2,3,Антон Молька,,Інші особливості
,model,Тимчасові елементи,Елемени будуть знаходитися впродовж деякого часу і зникати.,1,5,Дар'я Курінна,,Інші особливості
,model,Елемент стрибає на місці,"Елемент стрибає на місці, коли йому не вигідно пересуватися.",1,1,Дар'я Курінна,,Інші особливості
,model,Створює юнітів,Під час взаємодії створює юніта,1,2,Денис Іваніщев,,Як взаємодіє
,model,З’являється за якоюсь умовою,,1,7,Artem Chuvaiev,⬛️,Як взаємодіє
,model,Прискорення Ворога,Змінює швидкість ворогів.,1,1,Artem Chuvaiev,🟧,Як взаємодіє
,model,за командою від іншого Е.,Елемент з’являється при застосуванні здібності іншого елемента. Наприклад: елемент з’являється коли інший елемент стріляє.,1,1,Федір Харченко,🟧,Коли зʼявляється
,model,заморожує поле/сутності,"Наприклад при наступанні на сутність, всі сутності на полі окрім гравця заморожуються",1,1,Федір Харченко,🟧,Як взаємодіє
,model,Скриня,Створює елементи на основі таблиці шансів,2,1,MrMelog,🟧,Як взаємодіє
,model,Додає гравцю ability,Дає можливість використовувати гравцю якусь здатність,1,1,MrMelog,🟧,Як взаємодіє
,model,Перехід на наступний рівень,При взаємодії з гравцем переносить його на наступний рівень,1,2,MrMelog,🟧,Як взаємодіє
,model,змінює свій вигляд коли поранений,При отриманні шкоди спрайт елемента на короткий час змінюється,1,1,Федір Харченко,🟧,Інші особливості
,model,анімація спрайту,спрайт елемента змінюється з часом по колу,1,2,Федір Харченко,🟧,Інші особливості
,model,взривається,при знищенні завдає шкоди сусіднім елементам,1,3,Федір Харченко,,Інші особливості
,model,не можна вбити,Елемент не може бути вбитий іншим елементом. Смерть елемента можлива тільки через саморуйнування,1,1,Федір Харченко,🟧,Інші особливості
,model,завдає шкоди,"Наносить шкоди іншому елементу при якійсь умові, наприклад при зіштовхуванні.",1,4,Федір Харченко,🟧,Інші особливості
,model,гравець реагує на події,у гравця в залежності від того що відбувається під час гри відобража.ться різні емоції,2,1,Софія Світенко,🟧,Інші особливості
,model,на елементі відбувається анімація зворотнього часу,"Наприклад, на бомбі буде зображно відлік часу до вибуху.",1,1,Дар'я Курінна,🟧,Інші особливості
