Add,Название,Монеты,used,Описание,Особые требования к отчёту,Тип
system,Магазин,4,3,"Магазин, в котором можно покупать различные дополнительные возможности или ресурсы и т.п.\nTODO: Возможно, надо разбить на несколько более мелких заданий\nTODO: добавить различные небольшие задания, поясняющие эту функциональность",,misc
model,Универсальный движок,8,0,"Здесь подразумевается реализация классов игры в таком виде, что их можно удобно переиспользовать даже для построения другого варианта игры.\nТо есть логика конкретных игровых процессов получается не жёстко зафиксированной, а зависит от тех или иных конфигурационных параметров.\nВ идеале получается, что при определённых конфигурациях можно получить даже совершенно другую игру на том же исходном коде.",,misc
model,Возможность играть по сети,12,0,,,misc
model,Редактор графических элементов консольного меню,4,1,,,misc
model,Отдельные файлы для классов,½,0,,,source
model,Группировка классов по папкам,½,0,,,source
system,Работа с файлами,½,0,,,source
model,Использование индексатора,½,0,,,source
model,Использование потоков (Thread),1,0,,,source
model,Использование пакетов NuGet в проекте,1,0,Подключение и применение пакетов NuGet в проекте,,source
model,Ввод имени игрока,1,10,,,results
model,Простой подсчет очков,1,16,"Например, количество собранных призов и т.п.",,results
model,Особая формула для подсчёта очков,1,2,"Например, зависящая от нескольких критериев: время прохождения, количество ходов, собранные призы, и т.д.",,results
model,Подсчёт количества ходов,1,3,"И вывод в статистике в конце игры, либо же во время игры",,results
model,Подсчёт времени прохождения уровня/игры,1,6,"И вывод в статистике в конце игры, либо же во время игры",,results
model,Подсчёт количества собранных призов,1,4,"И вывод в статистике в конце игры, либо же во время игры",,results
model,Подсчёт количества пройденных уровней,1,5,"И вывод в статистике в конце игры, либо же во время игры",,results
model,Подсчёт количества поражений,1,1,"И вывод в статистике в конце игры, либо же во время игры",,results
model,Обратный отсчёт времени,1,2,"Например, если не успеть выиграть за отведённое время — game over",,results
model,Особые подсчёты бонусов и прочего,1,2,"Например, количество необязательных призов или ключей и т.п.",,results
model,Список лучших результатов,1,5,Упорядоченный по итоговым результатам,,results
model,Список результатов всех игр,1,3,"Например, упорядоченный по времени игры",,results
model,Выбор стиля (темы) игры,2,2,"Например, выбор между разными наборами символов для отображения в консольной игре (и аналогично для GUI)",,window
model,Настройки сочетаний клавиш,2,1,,,window
model,Настройка громкости,1,2,Регулирование громкости фоновой музыки/звуков,,window
model,Дополнительные настройки,1,4,"Опишите в отчёте, какие именно\n🦠 Задание может дублироваться при необходимости (но лучше просто создать новые более конкретные задания)",,window
model,MessageBox при попытке закрыть форму,½,5,"При попытке закрыть окно выскакивает сообщение «Да-Нет-Отмена», позволяя предотвратить случайное закрытие\n🦋 Актуально только для GUI",(актуально для GUI),window
system,Выбор игрока,2,2,"Например, возможность смены игрока с его настройками (к примеру, скорость и стиль игры, или последняя карта, на которой играл игрок, и т.п.)",,window
model,Многоязычный интерфейс,3,4,Выбор языка и перевод всего интерфейса,,window
model,Заставка при запуске игры,1,2,начальная заставка перед стартовым меню,,window
model,Основное игровое поле,1,11,(обязательное задание),Обязательное задание\nНужен скрин игрового поля,window
model,Отталкивание от границ,1,1,"Вместо того, чтобы игрок или какой-то элемент врезался в стенку, он будет отталкиваться",,window
model,Возможность перехода в главное меню из любого окна игры,½,2,"Используя паузное меню или специальную кнопку на каждой форме для того, чтобы вернуться в главное меню",,window
model,Возможность выхода из игры из любого окна игры,½,1,"Используя паузное меню или специальную кнопку на каждой форме для того, чтобы выйти из игры",,window
model,Косметическая анимация,1,4,"Подразумевает какой-то косметический алгоритм, который работает на “фоне” в главном меню (или пуазе и тд.) и необходим исключительно для того, чтоб как-то “оживить” картинку, к примеру в Battle City - постоянно катающийся на фоне танк в главном меню.",,interface
model,Псевдографика для оформления меню и/или поля,1,8,"Подразумевается, например, такого вида оформление (но не обязательно такое):\n╔═══╤═══╗\n╟───┼───╢",,interface
model,Красочность информационных окон,1,10,"Имеется в виду использование консольных псевдографических зарисовок для главного экрана, заставок победы/поражения и прочее",,interface
model,"Анимация переходов между ""окнами""",1,1,Анимация загрузки между скрытием окна меню и прогрузкой игровой карты,,interface
model,Красивая загрузка карты,1,1,"Карта визуально загружается постепенно с помощью какого-то алгоритма (например, каждая клетка рандомно, а не по порядку).",,interface
model,Звуковое сопровождение,1,10,Звуки при определённых обстоятельствах,,interface
model,Музыкальное сопровождение,1,8,Фоновая музыка,,interface
model,Изменение фоновой музыки,1,2,"Возможность изменить проигрываемую музыку (например, следующую во встроенном списке)\nПереключение, например, с помощью какой-то клавиши (пользователем)",,interface
model,Иконка игры,1,12,"Иконки форм, например в WinForms (актуально для 3-й лабы)\n🦋 Актуально только для GUI",(актуально для GUI),interface
model,Масштабирование карты во время игры,1,4,"Здесь имеется в виду изменение масштаба отображения прямо во время игры, актуально в основном для 3-й лабы, т.к. для консоли реализовать проблематично\n🦋 Актуально только для GUI",(актуально для GUI),interface
model,Использование GIF-анимаций,2,9,Отображение некоторых элементов с помощью GIF’ок\n🦋 Актуально только для GUI,(актуально для GUI),interface
model,Пауза фоновой музыки,1,4,"Возможность поставить фоновую музыку на паузу.\nНапример, с помощью какой-то клавиши (пользователем).\nПосле повторного нажатия должна возобновляться с того же места.",,interface
model,Изменение громкости фоновой музыки,1,3,"Возможность изменять громкость фоновой музыки, не выключая её",,interface
model,Возможность добавления собственной фоновой музыки,2,1,Реализовать алгоритм добавления собственной фоновой музыки в игру\n!!!Реализовывается только с пунктом “Изменение фоновой музыки”!!!,,interface
model,Многоуровневая архитектура приложения,3,0,"Несколько слоёв (например, стандартные три в MVC), использование Dependency Injection",,source
system,Общая кодовая база (3-я лаба),4,0,Общая кодовая база между консолью и GUI\n💡 Обязательное задание на 90 по 3-й лабе,,source
model,Описание классов,1,0,,,source
model,Реализация GUI используя JSON API для связи между сервером и клиентом,3,0,"Создание более гибкого решения, которое позволяет использовать разные технологии для логики игры и для графического интерфейса",,source
