Описание,coins,used in interface,who added,Название,Тип
"🧩 Можно дублировать задание задание для каждого уровня

(и по каждому уровню скриншот)",½,41,Віталій Ляпота,Относительно простой уровень для примера  🧩,Рівні
"Специальный уровень с инструкциями к игре

🧩 Можно дублировать, если ...",1,1,Віталій Ляпота,Уровень-туториал  🧩,Рівні
"🧩 Можно дублировать задание задание для каждого уровня

⭕️ Нужно дать пояснения по задумке уровня",1,8,Віталій Ляпота,Продуманный интересный уровень (с задумкой)  🧩,Рівні
Разные уровни могут иметь разные размеры поля,1,11,Віталій Ляпота,Вариативные размеры поля,Фічі рівнів
"Имеется в виду, что если, к примеру, перейти за левый край, то появляемся с правой стороны (и аналогично по вертикали)",1,2,Віталій Ляпота,Карта в виде «тора»,Фічі рівнів
"Видимость только ближайшего пространства рядом с игроком
Например, игрок видит только несколько соседних клеток, а остальные для него невидимы, и эта видимая область «перемещается» вместе с игроком",2,0,Віталій Ляпота,Ограниченная видимость,Фічі рівнів
"Видимая область перемещается с игроком (фрейм отображаемой области)
Примерно как скролл в окне, но тут он просто зависит от перемещения игрока",2,1,Віталій Ляпота,Скрол видимой области при движении игрока,Фічі рівнів
И в дальнейшем можно загрузиться и продолжить играть с него,2,3,Віталій Ляпота,Сохранение текущего состояния игры,Фічі рівнів
"Просто захардкодженные действия (как бы визуально ходим вместо игрока)

⚛️ В зависимости от сложности реализации количество монет может быть увеличено или уменьшено",2,1,Віталій Ляпота,Эмуляция прохождения уровня (без алгоритма) ⚛️,Проходження гри
"Просто захардкодженные действия (как бы визуально ходим вместо игрока)

⚛️ В зависимости от сложности реализации количество монет может быть увеличено или уменьшено",2,0,nktklts,Эмуляция прохождения уровня (без алгоритма) ⚛️,Проходження гри
"Расчёт оптимального маршрута и далее визуально ходим вместо игрока

⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",4,1,Віталій Ляпота,Эмуляция прохождения уровня (алгоритм) ⚛️,Проходження гри
Просто самый обычный рандом для размещаемых элементов,2,20,Віталій Ляпота,Случайная генерация уровней,Створення рівнів
"Особые алгоритмы генерации задающие принципы генерации (например, особые случайные области с элементами, или расстановка ключей и дверей, или случайная генерация лабиринта и т.п.), то есть не только обычный банальный рандом",4,13,Віталій Ляпота,Усложнённая генерация уровней,Створення рівнів
"Например, использование особых шаблонов, формирование сложных схем, хитрые алгоритмы, и в итоге уровни получаются красиво/интересно выглядящими (как будто человек мог их так придумать/продумать) или их прохождение требует определённой заложенной алгоритмом “смекалки” и т.п.

⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",8,1,Віталій Ляпота,Интеллектуальная генерация уровней  ⚛️,Створення рівнів
"Нечто более или менее базовое, например, проверка наличия пути до выхода, возможность собрать все призы и т.п.

⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",4,2,Віталій Ляпота,Проверка проходимости уровня ⚛️,Проходження гри
"Дополнительные проверки, использующие особенности игровой механики для прохождения уровня (например, перемещение камней, использование инвентаря, учёт поведения противников и т.п.)

⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",8,1,Віталій Ляпота,Особая проверка проходимости уровня  ⚛️,Проходження гри
"Здесь подразумевается проверка во время игры
Например, автоматическая, т.е. каждый раз проверяется, и если игрок оказывается в непроходимом тупике, то что-то происходит
В качестве реакции — либо автоматический телепорт в другое место, либо плюс одна жизнь на “взорваться”, либо уничтожение произвольной стены, чтобы избавиться от тупика и т.п.",2,2,Віталій Ляпота,Проверка на тупик во время игры,Проходження гри
"Опциональная подсказка или режим игры с постоянными подсказками: какой сделать следующий шаг или несколько шагов, чтобы в итоге победить
Алгоритм можно использовать из «золотых заданий» выше",2,0,Віталій Ляпота,Подсказка для прохождения уровня,Проходження гри
"Базовая возможность создавать новые и редактировать существующие уровни, прямо из интерфейса игры

⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",4,6,Віталій Ляпота,Редактор уровней,Редактор рівнів
Для каждой дополнительной фичи создавайте отдельной задание ниже,0,0,Віталій Ляпота,Доп. фичи редактора уровней,Редактор рівнів
"Возможность выбора вида заполнения (точка, линия, соединенные линии, прямоугольник)",2,1,Михайло Середа,Выбор способа заполнения,Редактор рівнів
Активный выбранный инструмент визуально выделяется,1,4,Михайло Середа,Выделение активных инструментов,Редактор рівнів
"Например, жизни игрока, результаты, время т.п.

💡 Не забудьте добавить ещё соответствующие задания из раздела “Статистика”",1,33,Віталій Ляпота,Блок для отображения информации,Інтерфейс
"Здесь подразумевается, что разные игровые элементы имеют разные цвета

🔲 Актуально только для консоли",1,37,Віталій Ляпота,Цветные клетки  🔲,Графіка
"⭕️  Обязательное задание

Нужен скрин примера игрового поля",1,51,Віталій Ляпота,Основное игровое поле,Вікна
,1,37,Віталій Ляпота,Главное меню игры,Вікна
💡 Не забудьте добавить ещё соответствующие задания из раздела “Статистика”,1,13,Віталій Ляпота,Результаты игроков,Вікна
,1,21,Віталій Ляпота,Инструкция к игре,Вікна
Начальная заставка перед стартовым меню,1,17,Віталій Ляпота,Заставка при запуске игры,Вікна
,1,35,Віталій Ляпота,Заставка победы,Вікна
,1,34,Віталій Ляпота,Заставка поражения,Вікна
Возможность поставить игру на паузу,1,14,Віталій Ляпота,Пауза,Вікна
,1,13,Віталій Ляпота,Выбор уровня для запуска,Вікна
,1,13,Віталій Ляпота,Выбор сложности игры,Вікна
Как быстро будут происходить все события в игре,1,4,Віталій Ляпота,Регулировка скорости игры,Вікна
Регулирование громкости фоновой музыки/звуков,1,4,Віталій Ляпота,Настройка громкости,Вікна
"Например, выбор между разными наборами символов для отображения в консольной игре (и аналогично можно для GUI)",2,3,Віталій Ляпота,Выбор стиля (темы) игры,Вікна
,2,3,Віталій Ляпота,Настройки сочетаний клавиш,Вікна
"Например, возможность смены игрока с его настройками 
(к примеру, сохраняется его скорость и стиль игры, или последняя карта, на которой играл игрок, и т.п.)",2,3,Віталій Ляпота,Выбор игрока,Вікна
"Опишите в отчёте, какие именно

🧩 Задание может дублироваться при необходимости 

(но лучше просто создать новые более конкретные задания)",1,2,Віталій Ляпота,Дополнительные настройки 🧩,Вікна
🔲 Актуально только для консоли,1,22,Віталій Ляпота,Выбор пунктов меню курсорными клавишами ↑↓,Інтерфейс
"Например, фоновым цветом",1,21,Віталій Ляпота,Выделение активного пункта меню,Інтерфейс
"Публикация игры в общий доступ через одну из площадок для размещения игр в публичном доступе (например, Steam и другие)

⚛️ Количество монет может быть увеличено или уменьшено в зависимости от обстоятельств",2,0,Віталій Ляпота,"Публикация в магазине (Steam и т.п.) ⚛️ ",Сайти та канали
,1,0,Віталій Ляпота,Обзор (рецензия) к игре,Сайти та канали
"Например, типа кода Konami или любая другая скрытая возможность или особенность :)

🧩 Можно дублировать задание задание для каждой пасхалки",1,1,Віталій Ляпота,Пасхалочка  🧩,Фічі
"Подразумевается на одном компьютере, например, разными сочетаниями клавиш для разных игроков

💡 Не забудьте добавить и игровой элемент для второго игрока",2,3,Віталій Ляпота,Возможность играть вдвоём,Фічі
"Сохранение данных отдельных игроков

todo: скорее всего это задание надо раздробить на несколько более мелких...",3,4,Віталій Ляпота,Аккаунты,Фічі
"Магазин, в котором можно покупать различные дополнительные возможности или ресурсы и т.п.

TODO: Возможно, надо разбить на несколько более мелких заданий

TODO: добавить различные небольшие задания, поясняющие эту функциональность",4,3,Віталій Ляпота,Магазин,Фічі
"Здесь подразумевается реализация классов игры в таком виде, что их можно удобно переиспользовать даже для построения другого варианта игры.

То есть логика конкретных игровых процессов получается не жёстко зафиксированной, а зависит от тех или иных конфигурационных параметров.

В идеале получается, что при определённых конфигурациях можно получить даже совершенно другую игру на том же исходном коде.",8,0,Віталій Ляпота,Универсальный движок,Фічі
,12,3,Віталій Ляпота,Возможность играть по сети,Фічі
"Опишите в отчёте, как использовать и для чего",1,0,Віталій Ляпота,Работа с файлами,Реалізація
"Опишите в отчёте, как использовать и для чего",1,0,Віталій Ляпота,Использование потоков (Thread),Реалізація
"Разделить обработку обновлений игрового поля и редеринг в раздельные потоки, реализовать синхронизацию с минимальным ущербом производительности",1,0,Костянтин Щербина,Использование потоков для параллельной обработки рендеринга и обновлений,Реалізація
Добавить ограничение максимальной частоты кадров для избежания избыточной нагрузки на сисиетму,1,0,Костянтин Щербина,Ограничение частоты кадров,Реалізація
Подключение и применение пакетов NuGet в проекте,1,0,Віталій Ляпота,Использование пакетов NuGet в проекте,Реалізація
,1,11,Віталій Ляпота,Ввод имени игрока,Статистика
"Например, количество собранных призов и т.п.",1,28,Віталій Ляпота,Простой подсчет очков,Статистика
"Например, зависящая от нескольких критериев: время прохождения, количество ходов, собранные призы, и т.д.",1,5,Віталій Ляпота,Особая формула для подсчёта очков,Статистика
"И вывод в статистике в конце игры, либо же во время игры",1,8,Віталій Ляпота,Количество ходов,Статистика
"И вывод в статистике в конце игры, либо же во время игры",1,9,Віталій Ляпота,Время прохождения уровня/игры,Статистика
"Например, если не успеть выиграть за отведённое время — game over",1,6,Віталій Ляпота,Обратный отсчёт времени,Статистика
"Например, количество необязательных призов или ключей и т.п.",1,3,Віталій Ляпота,Особые подсчёты бонусов и прочего,Статистика
Упорядоченный по итоговым результатам,1,3,Віталій Ляпота,Лучшие результаты,Статистика
"Например, упорядоченный по времени игры",1,2,Віталій Ляпота,Результаты всех игр,Статистика
"И вывод в статистике в конце игры, либо же во время игры",1,15,Артем Воловий,Количество собранных призов,Статистика
"И вывод в статистике в конце игры, либо же во время игры",1,3,Артем Воловий,Количество пройденных уровней,Статистика
"И вывод в статистике в конце игры, либо же во время игры",1,1,Артем Воловий,Количество поражений,Статистика
"Подразумевается, например, такого вида оформление (но не обязательно такое):

╔═══╤═══╗
╟───┼───╢",1,14,Віталій Ляпота,Псевдографика для оформления меню и/или поля,Графіка
Для главного экрана или заставок победы/поражения и прочее,1,12,Віталій Ляпота,Консольные псевдографические зарисовки,Графіка
"Подразумевает какой-то косметический алгоритм, который работает на “фоне” в главном меню (или пуазе и тд.) и необходим исключительно для того, чтоб как-то “оживить” картинку, к примеру в Battle City - постоянно катающийся на фоне танк в главном меню.",1,1,Віталій Ляпота,Косметическая анимация,Графіка
"Подразумевает какой-то косметический алгоритм, который работает на “фоне” в главном меню (или пуазе и тд.) и необходим исключительно для того, чтоб как-то “оживить” картинку, к примеру в Battle City - постоянно катающийся на фоне танк в главном меню.",1,0,Кирило Равлюк,Косметическая анимация,Графіка
"Карта визуально загружается постепенно с помощью какого-то алгоритма (например, каждая клетка рандомно, а не по порядку).",1,3,Віталій Ляпота,Красивая загрузка карты,Графіка
Анимация загрузки между скрытием окна меню и прогрузкой игровой карты,1,3,Віталій Ляпота,"Анимация переходов между ""окнами""",Графіка
Звуки при определённых обстоятельствах,1,15,Віталій Ляпота,Звуковое сопровождение,Звуки та музика
Фоновая музыка,1,13,Віталій Ляпота,Музыкальное сопровождение,Звуки та музика
"Возможность изменить проигрываемую музыку (например, следующую во встроенном списке)
Переключение, например, с помощью какой-то клавиши (пользователем)",1,1,Віталій Ляпота,Изменение фоновой музыки,Звуки та музика
"Иконки форм, например в WinForms (актуально для 3-й лабы)

🦋 Актуально только для GUI",1,16,Віталій Ляпота,Иконка игры  🦋,Інтерфейс
"При попытке закрыть окно выскакивает сообщение «Да-Нет-Отмена», позволяя предотвратить случайное закрытие

🦋 Актуально только для GUI",½,7,Віталій Ляпота,"MessageBox при попытке закрыть форму 🦋 ",Інтерфейс
"Здесь имеется в виду изменение масштаба отображения прямо во время игры, актуально в основном для 3-й лабы, т.к. для консоли реализовать проблематично

🦋 Актуально только для GUI",1,1,Віталій Ляпота,Масштабирование карты во время игры  🦋,Інтерфейс
"Отображение некоторых элементов с помощью GIF’ок

🦋 Актуально только для GUI",2,6,Віталій Ляпота,Использование GIF-анимаций  🦋,Графіка
Выбор языка и перевод всего интерфейса,3,1,Віталій Ляпота,Многоязычный интерфейс,Інтерфейс
"Камера перемещается не на целую клетку за кадр, а плавно",1,0,Костянтин Щербина,Плавное следование камеры за игроком 🦋,Інтерфейс
"Возможность поставить фоновую музыку на паузу.
Например, с помощью какой-то клавиши (пользователем).
После повторного нажатия должна возобновляться с того же места.",1,3,Артем Воловий,Пауза фоновой музыки,Звуки та музика
"Возможность изменять громкость фоновой музыки во время игры, не выключая её",1,3,Yevhen Liashenko,Изменение громкости фоновой музыки,Звуки та музика
"Передбачено повідомлення, за умови коли користувач ввів некоректний формат даних.

Приклади: 

* введення розмірів поля(тільки числові значення/значення у конкретному діапазоні);
* обрання кольору(тільки рядок, який є назвою кольору та відповідно не ломає програму)",1,11,Олександра Атаманова,Перевірка введених даних користувачем,Фічі
"(Не уверенна по поводу кол-ва монеток, напишите пожалуйста, если нужно уменьшить)
В любой момент времени игрок может положить что-то в инвентарь, открыть его (отдельное окно), выбрать предмет, который он хочет достать (с помощью клавиш управления) и взять его в руку (или вернуть обратно за ненадобностью).",2,1,Владислава Герасимова,Интреактивный инвентарь,Вікна
"(Не уверенна по поводу кол-ва монеток, напишите пожалуйста, если нужно уменьшить)
При взаимодействии с сундуком открывается отдельное окно с его содержимым. Есть возможность выбрать необходимый предмет (с помощью клавиш управления) и забрать его в инвентарь.",2,1,Владислава Герасимова,Интерактивный сундук,Вікна
"При выход за предел карты игрок перемещается на другую картуб связанную с предыдущей, в соответствующее место (как если-бы обе эти карты были частями одной большой карты, из которой мы видим только кусочки)",1,3,Владислава Герасимова,Переход с карты на карту,Фічі рівнів
"Если неигровой персонаж “говорит” что-то в консоль, текст выводится не цельным блоком, а анимацией, как будто персонаж действительно проговаривает слова.",1,1,Владислава Герасимова,Анимированый “разговор” в консоли,Графіка
Возможность выделить и перемещать размещенные на уровне элементы (с возможностью одновременного выделения нескольких элементов),2,1,Костянтин Щербина,Выделение и перестаскивание элементов уровня,Редактор рівнів
"Если например выделены ловушка и противник, у которых есть одинаковый параметр “наносимый урон”, пользователю даётся возможность одновременно изменить этот параметр для обеих элементов",2,0,Костянтин Щербина,Одновременное редактирование общих параметров у выделенных элементов,Редактор рівнів
Возможность отмены и повторного применения действий в редакторе (Undo/Redo),2,1,Костянтин Щербина,История изменений,Редактор рівнів
"Добавление сочетаний клавиш для упрощения использования редактора. Например, клавиши для быстрого выбора инструментов, использование клавиш-модификаторов (ctrl, shift, alt) для активации дополнительного поведения выбранного инструмента, и прочие “шорткаты” для увеличения продуктивности использования редактора",1,1,Костянтин Щербина,Сочетания клавиш,Редактор рівнів
Возможность одновременно открыть и переключаться между несколькими уровнями в редакторе при помощи вкладок,1,1,Костянтин Щербина,Вкладки,Редактор рівнів
Функционал масштабирования уровня а также перемещеня видимой области в редакторе,2,1,Костянтин Щербина,Навигация,Редактор рівнів
"Возможность добавлять собстенное поведение противникам и/или другим игровым элементам при помощи скриптов. К примеру, в C# .NET можно использовать библиотеку YantraJS либо jint для выполнения скриптов на JavaScript. Ну или можно реализовать свой простой язык, например использующий просто записанный в столбик набор команд (однако такой язык должен как минимум поддерживать простые условия по типу проверки наличия препятствий)",6,1,Костянтин Щербина,Скриптинг,Фічі
Отрисовка плавного полёта пули,1,4,yooud,Полёт пули,Графіка
"Наприклад, клітинка поля займає 1 клітинку консолі, а гравець – 16 (квадрат 4 на 4). Це значно ускладнює не тільки відображення елементів на екрані, а й перевірку на зіткнення між елементами.",2,3,Роман Геньбач,Ігрові елементи різних розмірів,Графіка
"Несколько слоёв (например, стандартные три в MVC), использование Dependency Injection, и т.п.",2,0,Віталій Ляпота,Многоуровневая архитектура приложения,Реалізація
"Общая кодовая база между консолью и GUI (все классы игровой логики, кроме ввода/вывода)

💡 Обязательное задание на 90 по 3-й лабе",4,0,Віталій Ляпота,Общая кодовая база (3-я лаба),Реалізація
"Приклад звіта:

* У базовому класі Element:
  * virtual bool CanMove()
  * abstract void Action(Engine engine)
* У класі Wall перекривається:
  * CanMove()
* У класі Coin перекривається:
  * Action(Engine engine)
* Клас Engine — це ...

Або інший приклад:

* У базовому класі BaseEntity:
  * поле bool CanGoThrough
  * поле bool isKilling
  * метод React()
* У класі Monster:
  * у конструкторі: isKilling = True
* У класі Barrier:
  * у конструкторі: CanGoThrough = False
* Клас Player доступний у BaseEntity через поле та конструктор

Це просто приклади, робіть по-своєму, але кратко та зрозуміло :)

Якщо в вас цікаве або нестандартне рішення — давайте подробиці",1,0,Віталій Ляпота,Восьма монетка,Реалізація
"Использовать модель “Finite State Machine” в любой части проекта. Реализовать валидацию переходов между состояниями, сделать невозможным репрезентацию некорректного состояния",3,0,Костянтин Щербина,Алгоритм “конечного автомата состояний” (finite state machine),Реалізація
"Реализовать в GUI версии игры анимацию при помощи фрагментных шейдеров (fragment shaders), выполняемых на видеокарте",4,0,Костянтин Щербина,Анимация с использованием фрагментых шейдеров,Реалізація
,,0,Віталій Ляпота,,
"Зворотній відлік перед початком гри, що виглядає як спалахуючі на екрані надписи: «3», «2», «1», «START».",1,5,Kseniia Lebedenko,Зворотній відлік,Вікна
Можливість обрати режим гри перед початком.,1,2,Юлія Дручек,Вибір режиму гри,Вікна
"Реализовать отдельную программу-ретранслятор, предназначенную для запуска на сервере, которая позволит игрокам связываться без прямого соединения через локальную сеть. Для идентификации игровой сессии можно использовать временные короткие цифрово-буквенные коды (как в игре Among Us), либо систему аккаунтов (если она реализована)",4,1,Костянтин Щербина,Игра по сети через “ретранслятор”,Фічі
Реализовать базовую поддержку использования игровых контроллеров (хотя бы блока стрелок). Для чтения ввода с контроллера на C# можно использовать библиотеку HIDDevices. Для эмуляции игрового контроллера можно использовать например программу с открытым исходным кодом X360CE.,3,3,Костянтин Щербина,Поддержка игровых контроллеров (геймпадов),Вікна
,,0,Владислав,,Статистика
"Игра отрисовывает макеты, которые состоят из виджетов",4,1,yooud,Рендер движок,Фічі
Алгоритм соединения комнат в единую карту,4,1,yooud,Создание карты комнат,Створення рівнів
Перезапуск поточного рівня через меню паузи,1,1,Костянтин Щербина,Перезапуск рівня,Вікна
"Используя Ray casting

(количество монеток можно сделать больше либо меньше)",6,0,Артем Васютін,3д-графика,Графіка
,3,0,Артем Васютін,Возможность играть на мобильных устройствах 🦋,Фічі
,,0,Костянтин Сотніков,Демка для ЛБ2,
,1,0,Віталій Ляпота,📽️ Виправлення зауважень з другої лаби,Відео-демки
,1,0,Віталій Ляпота,📽️ Демка програми GUI (функціонал),Відео-демки
,1,0,Віталій Ляпота,📽️ Демка по коду третьої лаби,Відео-демки
Розробити макрос для швидкого й зручного створення базових абстракцій гри,4,0,Костянтин Щербина,Макрос для універсального ігрового фреймворку,Реалізація
"Реалізувати оптимізований пошук ентіті за їх координатами, використовуючи кешування “чанками”",2,0,Костянтин Щербина,Оптимізованний пошук еніті за допомогою кешування їх у “чанках”,Реалізація
описати всі методи та функції гри у гітбук для прискорення захисту,4,0,Микола Білоус,Звіт у gitbook,Реалізація
,,0,Данііл Щербак,Ві,
,,0,Данііл Щербак,Відео демка лр 1-3,
,,0,Данііл Щербак,Відео демка лр 1-3,
